Country Name,ExternalReserves_2015
Afghanistan,6976966101
Albania,3138517908
Algeria,1.50595E+11
American Samoa,..
Andorra,..
Angola,23790543293
Antigua and Barbuda,355728253.3
Argentina,25520564394
Armenia,1775293493
Aruba,815800560
Australia,49261208628
Austria,22239730383
Azerbaijan,7319394023
"Bahamas, The",895475101.4
Bahrain,..
Bangladesh,27493077462
Barbados,..
Belarus,4172797046
Belgium,24101847948
Belize,437151643.9
Benin,731579708.9
Bermuda,..
Bhutan,1103179124
Bolivia,13049620585
Bosnia and Herzegovina,4790984890
Botswana,7546140345
Brazil,3.56465E+11
British Virgin Islands,..
Brunei Darussalam,3366322452
Bulgaria,22153050116
Burkina Faso,259628719.1
Burundi,136134359.3
Cabo Verde,494495560
Cambodia,7306761212
Cameroon,3536255057
Canada,79753516721
Cayman Islands,..
Central African Republic,213795587.7
Chad,368916822
Channel Islands,..
Chile,38641176014
China,3.40525E+12
Colombia,46222892915
Comoros,200562420.8
"Congo, Dem. Rep.",1215934364
"Congo, Rep.",2221497178
Costa Rica,7833931467
Cote d'Ivoire,4715714045
Croatia,14966894447
Cuba,..
Curacao,1791049000
Cyprus,807868765.1
Czech Republic,64490290101
Denmark,65185092232
Djibouti,364857279.8
Dominica,126225919
Dominican Republic,5266043351
Ecuador,2487276573
"Egypt, Arab Rep.",15858886843
El Salvador,2786587400
Equatorial Guinea,1205154501
Eritrea,..
Estonia,414798318.4
Ethiopia,..
Faroe Islands,..
Fiji,918959311.2
Finland,10016274780
France,1.38199E+11
French Polynesia,..
Gabon,1863120904
"Gambia, The",..
Georgia,2520721245
Germany,1.73731E+11
Ghana,..
Gibraltar,..
Greece,6027606492
Greenland,..
Grenada,197973499.4
Guam,..
Guatemala,7745916405
Guinea,330708163.2
Guinea-Bissau,332098226.3
Guyana,531887026.9
Haiti,1977646757
Honduras,3754265921
"Hong Kong SAR, China",3.58773E+11
Hungary,33124288276
Iceland,5040573337
India,3.53319E+11
Indonesia,1.05929E+11
"Iran, Islamic Rep.",..
Iraq,54051942061
Ireland,2203152923
Isle of Man,..
Israel,90575017727
Italy,1.30592E+11
Jamaica,2913835091
Japan,1.2331E+12
Jordan,16571894925
Kazakhstan,27859091155
Kenya,7548439554
Kiribati,..
"Korea, Dem. People’s Rep.",..
"Korea, Rep.",3.66707E+11
Kosovo,938265845.2
Kuwait,30960816686
Kyrgyz Republic,1777940925
Lao PDR,1043071090
Latvia,3445996092
Lebanon,48531390406
Lesotho,904161631.4
Liberia,522588181.1
Libya,77649593175
Liechtenstein,..
Lithuania,1697150074
Luxembourg,770747119.8
"Macao SAR, China",18890787008
"Macedonia, FYR",2470701357
Madagascar,832008779.2
Malawi,..
Malaysia,95282341204
Maldives,575758072.6
Mali,623993571.3
Malta,571697354.3
Marshall Islands,..
Mauritania,..
Mauritius,4259691432
Mexico,1.77597E+11
"Micronesia, Fed. Sts.",135114894.7
Moldova,1756772263
Monaco,..
Mongolia,1322495148
Montenegro,733514272.9
Morocco,23005183310
Mozambique,2581229747
Myanmar,..
Namibia,1688180784
Nauru,..
Nepal,8145463895
Netherlands,38213747836
New Caledonia,..
New Zealand,14699797598
Nicaragua,2492262734
Niger,1038953612
Nigeria,31334501876
Northern Mariana Islands,..
Norway,57455935282
Oman,17543980166
Pakistan,20027863931
Palau,..
Panama,3378098248
Papua New Guinea,1758569674
Paraguay,5938374039
Peru,61594854089
Philippines,80640410819
Poland,94902629476
Portugal,19402623214
Puerto Rico,..
Qatar,36923375552
Romania,38700983236
Russian Federation,3.68043E+11
Rwanda,1029818010
Samoa,139355588.8
San Marino,..
Sao Tome and Principe,72606146.67
Saudi Arabia,6.2699E+11
Senegal,2011787127
Serbia,11344953313
Seychelles,536145670.9
Sierra Leone,620490248.4
Singapore,2.51876E+11
Sint Maarten (Dutch part),..
Slovak Republic,2892029181
Slovenia,856213722.3
Solomon Islands,519562124.6
Somalia,..
South Africa,45887064632
South Sudan,229880517.1
Spain,53973839996
Sri Lanka,7302096560
St. Kitts and Nevis,288394869
St. Lucia,317540353.5
St. Martin (French part),..
St. Vincent and the Grenadines,166009601.7
Sudan,173516418.5
Suriname,330244623.1
Swaziland,547997232.1
Sweden,58098543091
Switzerland,6.02402E+11
Syrian Arab Republic,..
Tajikistan,493391420.2
Tanzania,4072926361
Thailand,1.5646E+11
Timor-Leste,437752176.5
Togo,573964888.3
Tonga,156107663.7
Trinidad and Tobago,10380916573
Tunisia,..
Turkey,1.1049E+11
Turkmenistan,..
Turks and Caicos Islands,..
Tuvalu,..
Uganda,2908876746
Ukraine,13300880761
United Arab Emirates,93929133737
United Kingdom,1.29601E+11
United States,3.83728E+11
Uruguay,15633854136
Uzbekistan,..
Vanuatu,269167133.9
"Venezuela, RB",15625328690
Vietnam,28250254805
Virgin Islands (U.S.),..
West Bank and Gaza,580939642.2
"Yemen, Rep.",..
Zambia,2967626534
Zimbabwe,434586032.1
